country_survey_label,country_name,iso3,survey_year,sbfn_member,sbfn_join_year,sbfn_policy_stage_at_survey,sbfn_source,wgi_regulatory_quality,wgi_government_effectiveness,wgi_year_used,wgi_source
Greece2018,Greece,GRC,2018,0,,None,"SBFN Data Portal country-profiles listing (data.sbfnetwork.org/country-profiles, accessed 2026) lists 69 member entities across Africa, East Asia & Pacific, Europe & Central Asia, Latin America & Caribbean, MENA and South Asia -- zero EU member states appear, consistent with SBFN's mandate as an emerging/developing-market network (IFC, ""About SBFN,"" sbfnetwork.org/about-sbf-network). Spot-verified directly for Poland and Bulgaria via the same portal listing (absent).",0.2867976,0.3398991,2018,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Hungary2019,Hungary,HUN,2019,0,,None,"SBFN Data Portal country-profiles listing (data.sbfnetwork.org/country-profiles, accessed 2026) lists 69 member entities across Africa, East Asia & Pacific, Europe & Central Asia, Latin America & Caribbean, MENA and South Asia -- zero EU member states appear, consistent with SBFN's mandate as an emerging/developing-market network (IFC, ""About SBFN,"" sbfnetwork.org/about-sbf-network). Spot-verified directly for Poland and Bulgaria via the same portal listing (absent).",0.4598348,0.5238239,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Italy2019,Italy,ITA,2019,0,,None,"SBFN Data Portal country-profiles listing (data.sbfnetwork.org/country-profiles, accessed 2026) lists 69 member entities across Africa, East Asia & Pacific, Europe & Central Asia, Latin America & Caribbean, MENA and South Asia -- zero EU member states appear, consistent with SBFN's mandate as an emerging/developing-market network (IFC, ""About SBFN,"" sbfnetwork.org/about-sbf-network). Spot-verified directly for Poland and Bulgaria via the same portal listing (absent).",0.7011105,0.4586098,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Jordan2019,Jordan,JOR,2019,1,2016,Commitment (Preparation phase),"Member since 2016 (Central Bank of Jordan). Stage per Global Progress Report of the Sustainable Banking Network, Oct 2019, Fig.9 ""SBN Progression Matrix"" p.5 (documents1.worldbank.org/curated/en/243311582536579969); corroborated by data.sbfnetwork.org/country/jordan.",0.159713,0.011123,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Kazakhstan2019,Kazakhstan,KAZ,2019,0,,None,"Not yet a member at survey year. The Agency of the Republic of Kazakhstan for Regulation and Development of Financial Market (ARDFM) joined SBFN on May 6, 2021 -- data.sbfnetwork.org/country/kazakhstan; ""The Agency of the Republic of Kazakhstan for Regulation and Development of Financial Market Joins SBFN,"" sbfnetwork.org. Absent from the 2019 Global Progress Report member roster.",0.112725,0.0590993,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Kosovo2019,Kosovo,XKX,2019,0,,None,"Not yet a member at survey year (joined 2022 banking association / 2023 central bank). Source: ""Central Bank of the Republic of Kosovo Joins SBFN,"" sbfnetwork.org/central-bank-of-the-republic-of-kosova-joins-sbfn (2023); Kosovo Banking Association join announcement (Apr 2022).",-0.3751079,-0.3265902,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Kyrgyz Republic2019,Kyrgyz Republic,KGZ,2019,1,2018,Commitment (Preparation phase),"Member since 2018 (Union of Banks of Kyrgyzstan). Stage per Global Progress Report of the Sustainable Banking Network, Oct 2019, Fig.9 ""SBN Progression Matrix"" p.5 (documents1.worldbank.org/curated/en/243311582536579969); join year corroborated by data.sbfnetwork.org/country/kyrgyz-republic and 2018 SBN Global Progress Report (""policies in preparation"" list, Feb 2018).",-0.4211895,-0.670415099999999,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Latvia2019,Latvia,LVA,2019,0,,None,"SBFN Data Portal country-profiles listing (data.sbfnetwork.org/country-profiles, accessed 2026) lists 69 member entities across Africa, East Asia & Pacific, Europe & Central Asia, Latin America & Caribbean, MENA and South Asia -- zero EU member states appear, consistent with SBFN's mandate as an emerging/developing-market network (IFC, ""About SBFN,"" sbfnetwork.org/about-sbf-network). Spot-verified directly for Poland and Bulgaria via the same portal listing (absent).",1.0030074,0.8291601,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Lebanon2019,Lebanon,LBN,2019,0,,None,"No evidence of SBFN/SBN membership at any date. Absent from Feb 2018 SBN Global Progress Report and Oct 2019 Global Progress Report member rosters, and absent from current data.sbfnetwork.org/country-profiles (2026). Banque du Liban participates in NGFS (a separate central-bank network), not SBFN.",-0.5611682,-0.6222753,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Lithuania2019,Lithuania,LTU,2019,0,,None,"SBFN Data Portal country-profiles listing (data.sbfnetwork.org/country-profiles, accessed 2026) lists 69 member entities across Africa, East Asia & Pacific, Europe & Central Asia, Latin America & Caribbean, MENA and South Asia -- zero EU member states appear, consistent with SBFN's mandate as an emerging/developing-market network (IFC, ""About SBFN,"" sbfnetwork.org/about-sbf-network). Spot-verified directly for Poland and Bulgaria via the same portal listing (absent).",0.9756202,0.8510012,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Malta2019,Malta,MLT,2019,0,,None,"SBFN Data Portal country-profiles listing (data.sbfnetwork.org/country-profiles, accessed 2026) lists 69 member entities across Africa, East Asia & Pacific, Europe & Central Asia, Latin America & Caribbean, MENA and South Asia -- zero EU member states appear, consistent with SBFN's mandate as an emerging/developing-market network (IFC, ""About SBFN,"" sbfnetwork.org/about-sbf-network). Spot-verified directly for Poland and Bulgaria via the same portal listing (absent).",0.8271849,0.9937489,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Moldova2019,Moldova,MDA,2019,0,,None,"Not yet a member at survey year (joined 2023). Source: ""National Bank of Moldova Joins SBFN,"" sbfnetwork.org/national-bank-of-moldova-joins-sbfn (Nov 21, 2023).",-0.113272799999999,-0.2731316,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Mongolia2019,Mongolia,MNG,2019,1,2012,Advancing (Implementation phase),"Founding member since 2012 (Bank of Mongolia). Stage per Global Progress Report of the Sustainable Banking Network, Oct 2019, Fig.9 ""SBN Progression Matrix"" p.5 (documents1.worldbank.org/curated/en/243311582536579969); corroborated by data.sbfnetwork.org/country/mongolia (later portal vintage labels this ""Framework Development"" under a revised taxonomy).",-0.0663774999999999,-0.3385736,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Montenegro2019,Montenegro,MNE,2019,0,,None,"Not yet a member at survey year (joined 2024). Source: Central Bank of Montenegro (CBCG) press release on joining SBFN, cbcg.me (May 2024).",0.2943513,0.2001456,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Morocco2019,Morocco,MAR,2019,1,2014,Advancing (Implementation phase),"Member since 2014 (Bank Al-Maghrib). Stage per Global Progress Report of the Sustainable Banking Network, Oct 2019, Fig.9 ""SBN Progression Matrix"" p.5 (documents1.worldbank.org/curated/en/243311582536579969); corroborated by data.sbfnetwork.org/country/morocco (later portal vintage labels this ""Framework Development"" under a revised taxonomy).",0.0271992,-0.1333028,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
North Macedonia2019,North Macedonia,MKD,2019,0,,None,"Not yet a member at survey year (joined 2024). Source: ""Macedonian Banking Association Joins SBFN,"" sbfnetwork.org/macedonian-banking-association-joins-sbfn (Feb 20, 2024).",0.192812,-0.1182044,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Poland2019,Poland,POL,2019,0,,None,"SBFN Data Portal country-profiles listing (data.sbfnetwork.org/country-profiles, accessed 2026) lists 69 member entities across Africa, East Asia & Pacific, Europe & Central Asia, Latin America & Caribbean, MENA and South Asia -- zero EU member states appear, consistent with SBFN's mandate as an emerging/developing-market network (IFC, ""About SBFN,"" sbfnetwork.org/about-sbf-network). Spot-verified directly for Poland and Bulgaria via the same portal listing (absent).",0.8277446,0.6631417,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Portugal2019,Portugal,PRT,2019,0,,None,"SBFN Data Portal country-profiles listing (data.sbfnetwork.org/country-profiles, accessed 2026) lists 69 member entities across Africa, East Asia & Pacific, Europe & Central Asia, Latin America & Caribbean, MENA and South Asia -- zero EU member states appear, consistent with SBFN's mandate as an emerging/developing-market network (IFC, ""About SBFN,"" sbfnetwork.org/about-sbf-network). Spot-verified directly for Poland and Bulgaria via the same portal listing (absent).",0.9999205,1.0136875,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Romania2019,Romania,ROU,2019,0,,None,"SBFN Data Portal country-profiles listing (data.sbfnetwork.org/country-profiles, accessed 2026) lists 69 member entities across Africa, East Asia & Pacific, Europe & Central Asia, Latin America & Caribbean, MENA and South Asia -- zero EU member states appear, consistent with SBFN's mandate as an emerging/developing-market network (IFC, ""About SBFN,"" sbfnetwork.org/about-sbf-network). Spot-verified directly for Poland and Bulgaria via the same portal listing (absent).",0.3572005,-0.1453557,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Russia2019,Russia,RUS,2019,0,,None,"No evidence of SBFN/SBN membership at any date. Absent from Feb 2018 and Oct 2019 SBN Global Progress Report member rosters and absent from current data.sbfnetwork.org/country-profiles (2026). No SBFN/SBN document explicitly states Russia is not a member; this is absence-of-evidence across every roster checked, not an explicit disconfirmation.",-0.3542324,0.0414379,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Serbia2019,Serbia,SRB,2019,0,,None,"Not yet a member at survey year (joined Nov 2020). Source: IFC Pressroom, ""Association of Serbian Banks Joins Sustainable Banking Network,"" Nov 18, 2020, ifc.org/en/pressroom/2020/26075.",0.064278,0.0665414,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Slovak Republic2019,Slovak Republic,SVK,2019,0,,None,"SBFN Data Portal country-profiles listing (data.sbfnetwork.org/country-profiles, accessed 2026) lists 69 member entities across Africa, East Asia & Pacific, Europe & Central Asia, Latin America & Caribbean, MENA and South Asia -- zero EU member states appear, consistent with SBFN's mandate as an emerging/developing-market network (IFC, ""About SBFN,"" sbfnetwork.org/about-sbf-network). Spot-verified directly for Poland and Bulgaria via the same portal listing (absent).",0.7272442,0.4384097,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Slovenia2019,Slovenia,SVN,2019,0,,None,"SBFN Data Portal country-profiles listing (data.sbfnetwork.org/country-profiles, accessed 2026) lists 69 member entities across Africa, East Asia & Pacific, Europe & Central Asia, Latin America & Caribbean, MENA and South Asia -- zero EU member states appear, consistent with SBFN's mandate as an emerging/developing-market network (IFC, ""About SBFN,"" sbfnetwork.org/about-sbf-network). Spot-verified directly for Poland and Bulgaria via the same portal listing (absent).",0.8847728,1.2721351,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Tajikistan2019,Tajikistan,TJK,2019,0,,None,"Not yet a member at survey year (joined Dec 2023). Source: ""National Bank of Tajikistan Joins SBFN,"" sbfnetwork.org/national-bank-of-tajikistan-joins-sbfn; data.sbfnetwork.org/country/tajikistan.",-0.800882299999999,-0.775782899999999,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Tunisia2020,Tunisia,TUN,2020,1,2019,UNVERIFIED,"Central Bank of Tunisia joined SBFN in 2019 (join year confirmed, data.sbfnetwork.org/country/tunisia). No SBFN report close to the 2020 survey year gives a reliable policy-stage classification for Tunisia -- stage marked UNVERIFIED per instructions rather than guessed; a later portal entry (ambiguous vintage) suggests ""Formulating"" but could not be pinned to a 2020-dated document.",-0.1095893,-0.0327607,2020,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Türkiye2019,Türkiye,TUR,2019,1,2015,Developing (Implementation phase),"Member since 2015. Stage per SBN Country Progress Report - Turkey, Oct 2019 (addendum to SBN Global Progress Report), p.1 (""member since 2015"") and p.2 Fig.1 ""SBN Progression Matrix,"" sbfnetwork.org/sites/default/files/2025/Apr/SBN_country_reports_country_with_framework_Turkey.pdf. Note: one alternate reading of the same 2019 global matrix figure placed Turkey at ""Advancing"" rather than ""Developing"" -- ""Developing"" is reported as primary since corroborated by two independent sources vs one.",-0.0157501,0.2099076,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Ukraine2019,Ukraine,UKR,2019,0,,None,"Not yet a member at survey year (joined Nov 2020). Source: ""The National Bank of Ukraine (NBU) Joins the Sustainable Banking Network,"" sbfnetwork.org (Nov 6, 2020).",-0.2900464,-0.372940899999999,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Uzbekistan2019,Uzbekistan,UZB,2019,0,,None,"No SBFN country profile exists (data.sbfnetwork.org/country/uzbekistan returns HTTP 404, checked 2026) and Uzbekistan is absent from the current SBFN Europe/Central Asia country-profiles listing (data.sbfnetwork.org/country-profiles) as well as the Oct 2019 Global Progress Report member roster. Treated as verified non-member based on this consistent, citable absence rather than fabricated; flag for reviewer discretion given no single explicit ""not a member"" statement was found.",-0.9215511,-0.5008385,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
West Bank And Gaza2019,West Bank and Gaza,PSE,2019,0,,None,"Absent from the current SBFN MENA country-profiles listing (data.sbfnetwork.org/country-profiles, 2026, which lists only Arab Republic of Egypt, Iraq, Jordan, Morocco, Tunisia for MENA) and from the Oct 2019 Global Progress Report member roster. Palestine Monetary Authority sustainable-finance roadmap work is documented under the Alliance for Financial Inclusion (AFI), a different network (afi-global.org), not SBFN. Treated as verified non-member based on this consistent absence; flag for reviewer discretion given no single explicit ""not a member"" statement was found.",-0.1491287,-0.4472111,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Bangladesh2022,Bangladesh,BGD,2022,1,2012,Advancing (Implementation phase / ESG Integration pillar),"Member since 2012 (Bangladesh Bank). Stage per SBFN Data Portal, Bangladesh country page, data.sbfnetwork.org/country/bangladesh (timeline entry 2012; ESG Integration Pillar classification, nearest available vintage to 2022 survey year).",-0.9240476,-0.62345,2022,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
India2022,India,IND,2022,1,2016,Developing (Commitment pillar),"Member since 2016 (Indian Banks' Association). Stage per SBFN/World Bank 2024 Global Progress Brief (covers 2023 data, closest available to 2022 survey year), documents1.worldbank.org/curated/en/099514101292537847, ""Overall Progression Matrix""; corroborated by data.sbfnetwork.org/country/india.",-0.087658,0.3392526,2022,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Indonesia2023,Indonesia,IDN,2023,1,2012,Consolidating (Maturing stage / ESG Integration pillar),"Member since 2012 (OJK). Stage per SBFN Country Progress Report Addendum - Indonesia, sbfnetwork.org/sites/default/files/2025/Apr/SBFN_Country_Progress_Report-Indonesia-1.pdf; corroborated by data.sbfnetwork.org/country/indonesia.",0.3408081,0.2732116,2023,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Peru2023,Peru,PER,2023,1,2013,Advancing (Implementation phase / ESG Integration pillar),"Member since 2013 (SBS). Stage per SBFN/World Bank Peru Country Progress Report, April 2022 (closest full narrative classification found to 2023 survey year), documents1.worldbank.org/curated/en/099004206142241318; corroborated by data.sbfnetwork.org/country/peru.",0.1292945,-0.197054099999999,2023,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
