iso3,name,region,income_level,name_norm,join_year,ever_treated
KNA,St. Kitts and Nevis,Latin America & Caribbean ,High income,st. kitts and nevis,,False
KOR,"Korea, Rep.",East Asia & Pacific,High income,"korea, rep.",,False
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,kuwait,,False
LAO,Lao PDR,East Asia & Pacific,Lower middle income,lao pdr,2012.0,True
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,lebanon,,False
LBR,Liberia,Sub-Saharan Africa ,Low income,liberia,,False
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,libya,,False
LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,st. lucia,2021.0,True
LIE,Liechtenstein,Europe & Central Asia,High income,liechtenstein,,False
LKA,Sri Lanka,South Asia,Upper middle income,sri lanka,2016.0,True
LSO,Lesotho,Sub-Saharan Africa ,Lower middle income,lesotho,,False
LTU,Lithuania,Europe & Central Asia,High income,lithuania,,False
LUX,Luxembourg,Europe & Central Asia,High income,luxembourg,,False
LVA,Latvia,Europe & Central Asia,High income,latvia,,False
MAC,"Macao SAR, China",East Asia & Pacific,High income,"macao sar, china",,False
MAF,St. Martin (French part),Latin America & Caribbean ,High income,st. martin (french part),,False
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,morocco,2014.0,True
MCO,Monaco,Europe & Central Asia,High income,monaco,,False
MDA,Moldova,Europe & Central Asia,Upper middle income,moldova,2023.0,True
MDG,Madagascar,Sub-Saharan Africa ,Low income,madagascar,,False
MDV,Maldives,South Asia,Upper middle income,maldives,2021.0,True
MEX,Mexico,Latin America & Caribbean ,Upper middle income,mexico,2016.0,True
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,marshall islands,,False
MKD,North Macedonia,Europe & Central Asia,Upper middle income,north macedonia,2024.0,True
MLI,Mali,Sub-Saharan Africa ,Low income,mali,,False
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,malta,,False
MMR,Myanmar,East Asia & Pacific,Lower middle income,myanmar,,False
MNE,Montenegro,Europe & Central Asia,Upper middle income,montenegro,2024.0,True
MNG,Mongolia,East Asia & Pacific,Upper middle income,mongolia,2012.0,True
MNP,Northern Mariana Islands,East Asia & Pacific,High income,northern mariana islands,,False
MOZ,Mozambique,Sub-Saharan Africa ,Low income,mozambique,,False
MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,mauritania,,False
MUS,Mauritius,Sub-Saharan Africa ,Upper middle income,mauritius,,False
MWI,Malawi,Sub-Saharan Africa ,Low income,malawi,,False
MYS,Malaysia,East Asia & Pacific,Upper middle income,malaysia,,False
NAM,Namibia,Sub-Saharan Africa ,Lower middle income,namibia,,False
NCL,New Caledonia,East Asia & Pacific,High income,new caledonia,,False
NER,Niger,Sub-Saharan Africa ,Low income,niger,,False
NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,nigeria,2012.0,True
NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,nicaragua,,False
NLD,Netherlands,Europe & Central Asia,High income,netherlands,,False
NOR,Norway,Europe & Central Asia,High income,norway,,False
NPL,Nepal,South Asia,Lower middle income,nepal,2014.0,True
NRU,Naoero,East Asia & Pacific,High income,naoero,,False
NZL,New Zealand,East Asia & Pacific,High income,new zealand,,False
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,oman,,False
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,pakistan,2015.0,True
PAN,Panama,Latin America & Caribbean ,High income,panama,2017.0,True
PER,Peru,Latin America & Caribbean ,Upper middle income,peru,2013.0,True
PHL,Philippines,East Asia & Pacific,Upper middle income,philippines,2013.0,True
PLW,Palau,East Asia & Pacific,High income,palau,,False
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,papua new guinea,2024.0,True
POL,Poland,Europe & Central Asia,High income,poland,,False
PRI,Puerto Rico (US),Latin America & Caribbean ,High income,puerto rico (us),,False
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,"korea, dem. people's rep.",,False
PRT,Portugal,Europe & Central Asia,High income,portugal,,False
PRY,Paraguay,Latin America & Caribbean ,Upper middle income,paraguay,2015.0,True
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,west bank and gaza,,False
PYF,French Polynesia,East Asia & Pacific,High income,french polynesia,,False
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,qatar,,False
ROU,Romania,Europe & Central Asia,High income,romania,,False
RUS,Russian Federation,Europe & Central Asia,High income,russian federation,,False
RWA,Rwanda,Sub-Saharan Africa ,Low income,rwanda,,False
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,saudi arabia,,False
SDN,Sudan,Sub-Saharan Africa ,Low income,sudan,,False
SEN,Senegal,Sub-Saharan Africa ,Lower middle income,senegal,,False
SGP,Singapore,East Asia & Pacific,High income,singapore,,False
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,solomon islands,,False
SLE,Sierra Leone,Sub-Saharan Africa ,Low income,sierra leone,,False
SLV,El Salvador,Latin America & Caribbean ,Upper middle income,el salvador,,False
SMR,San Marino,Europe & Central Asia,High income,san marino,,False
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa ,Low income,"somalia, fed. rep.",,False
SRB,Serbia,Europe & Central Asia,Upper middle income,serbia,2020.0,True
SSD,South Sudan,Sub-Saharan Africa ,Low income,south sudan,,False
STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,sao tome and principe,,False
SUR,Suriname,Latin America & Caribbean ,Upper middle income,suriname,,False
SVK,Slovak Republic,Europe & Central Asia,High income,slovak republic,,False
SVN,Slovenia,Europe & Central Asia,High income,slovenia,,False
SWE,Sweden,Europe & Central Asia,High income,sweden,,False
SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,eswatini,,False
SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,High income,sint maarten (dutch part),,False
SYC,Seychelles,Sub-Saharan Africa ,High income,seychelles,,False
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,syrian arab republic,,False
TCA,Turks and Caicos Islands,Latin America & Caribbean ,High income,turks and caicos islands,,False
TCD,Chad,Sub-Saharan Africa ,Low income,chad,2022.0,True
TGO,Togo,Sub-Saharan Africa ,Lower middle income,togo,,False
THA,Thailand,East Asia & Pacific,Upper middle income,thailand,2012.0,True
TJK,Tajikistan,Europe & Central Asia,Lower middle income,tajikistan,2023.0,True
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,turkmenistan,,False
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,timor-leste,,False
TON,Tonga,East Asia & Pacific,Upper middle income,tonga,,False
TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,trinidad and tobago,,False
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,tunisia,2019.0,True
TUR,Turkiye,Europe & Central Asia,Upper middle income,turkiye,2015.0,True
TUV,Tuvalu,East Asia & Pacific,Upper middle income,tuvalu,,False
TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,tanzania,2023.0,True
UGA,Uganda,Sub-Saharan Africa ,Low income,uganda,,False
UKR,Ukraine,Europe & Central Asia,Upper middle income,ukraine,2020.0,True
URY,Uruguay,Latin America & Caribbean ,High income,uruguay,,False
USA,United States,North America,High income,united states,,False
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,uzbekistan,,False
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,st. vincent and the grenadines,2021.0,True
VEN,"Venezuela, RB",Latin America & Caribbean ,Lower middle income,"venezuela, rb",,False
VGB,British Virgin Islands,Latin America & Caribbean ,High income,british virgin islands,,False
VIR,Virgin Islands (U.S.),Latin America & Caribbean ,High income,virgin islands (u.s.),,False
VNM,Viet Nam,East Asia & Pacific,Upper middle income,viet nam,2012.0,True
VUT,Vanuatu,East Asia & Pacific,Lower middle income,vanuatu,,False
WSM,Samoa,East Asia & Pacific,Upper middle income,samoa,2019.0,True
XKX,Kosovo,Europe & Central Asia,Upper middle income,kosovo,2022.0,True
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,"yemen, rep.",,False
ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,south africa,2016.0,True
ZMB,Zambia,Sub-Saharan Africa ,Lower middle income,zambia,2023.0,True
ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,zimbabwe,,False
